Raman_Shift(cm-1)	Intensity(counts)
200.0000	137.5390
200.8008	154.1462
201.6016	130.7733
202.4024	123.2633
203.2032	144.4140
204.0040	137.6738
204.8048	127.4576
205.6056	144.9006
206.4064	137.2263
207.2072	167.0902
208.0080	140.8634
208.8088	158.8970
209.6096	164.9338
210.4104	149.4677
211.2112	135.1770
212.0120	134.4290
212.8128	142.9754
213.6136	136.7890
214.4144	142.6350
215.2152	144.8889
216.0160	137.5825
216.8168	161.8954
217.6176	127.4852
218.4184	138.5431
219.2192	144.5051
220.0200	158.8997
220.8208	138.4350
221.6216	129.2012
222.4224	146.7332
223.2232	137.8190
224.0240	117.6128
224.8248	147.2151
225.6256	119.1095
226.4264	134.3819
227.2272	174.3940
228.0280	136.5639
228.8288	153.9962
229.6296	136.8209
230.4304	146.9212
231.2312	105.1931
232.0320	145.8809
232.8328	135.2141
233.6336	152.8837
234.4344	143.5043
235.2352	142.4504
236.0360	140.8107
236.8368	152.7468
237.6376	134.9007
238.4384	163.5007
239.2392	142.5016
240.0400	139.5216
240.8408	139.1669
241.6416	167.0799
242.4424	166.0995
243.2432	155.9977
244.0440	148.7242
244.8448	163.2005
245.6456	159.9165
246.4464	150.2442
247.2472	161.9108
248.0480	174.4315
248.8488	158.8333
249.6496	147.8876
250.4505	181.5501
251.2513	155.3400
252.0521	164.8859
252.8529	177.8221
253.6537	131.0992
254.4545	154.6380
255.2553	176.6314
256.0561	176.5651
256.8569	162.7700
257.6577	156.2253
258.4585	163.8211
259.2593	164.8288
260.0601	140.8892
260.8609	179.3077
261.6617	195.4405
262.4625	154.1656
263.2633	184.4183
264.0641	181.1358
264.8649	161.8275
265.6657	172.0577
266.4665	175.2603
267.2673	174.9447
268.0681	194.0167
268.8689	194.3115
269.6697	197.4834
270.4705	194.5233
271.2713	192.9393
272.0721	189.6411
272.8729	227.4619
273.6737	200.6476
274.4745	207.3137
275.2753	198.0642
276.0761	220.3565
276.8769	214.7459
277.6777	207.6037
278.4785	219.2701
279.2793	237.6315
280.0801	211.2139
280.8809	263.1295
281.6817	250.0867
282.4825	272.0425
283.2833	269.7392
284.0841	254.7461
284.8849	271.7283
285.6857	289.5630
286.4865	311.2585
287.2873	315.8686
288.0881	336.0529
288.8889	308.7653
289.6897	330.6331
290.4905	306.2032
291.2913	365.7989
292.0921	362.9721
292.8929	348.3199
293.6937	391.7979
294.4945	386.1775
295.2953	425.9578
296.0961	423.7595
296.8969	430.0460
297.6977	420.9136
298.4985	415.3999
299.2993	440.4385
300.1001	428.6850
300.9009	423.1352
301.7017	431.3531
302.5025	442.3378
303.3033	423.2323
304.1041	412.2260
304.9049	418.0098
305.7057	407.3636
306.5065	397.7325
307.3073	396.4023
308.1081	368.0752
308.9089	357.9871
309.7097	348.4608
310.5105	342.5493
311.3113	319.2933
312.1121	321.0879
312.9129	303.5345
313.7137	295.4779
314.5145	297.7483
315.3153	261.3926
316.1161	258.3330
316.9169	278.8406
317.7177	262.8567
318.5185	246.7342
319.3193	244.9939
320.1201	246.4130
320.9209	219.7618
321.7217	238.7779
322.5225	205.9492
323.3233	225.6688
324.1241	213.8148
324.9249	217.0278
325.7257	220.7424
326.5265	176.7736
327.3273	188.9285
328.1281	208.8383
328.9289	190.7436
329.7297	184.5279
330.5305	208.0862
331.3313	203.3699
332.1321	172.8849
332.9329	165.8672
333.7337	176.6756
334.5345	195.7280
335.3353	187.8238
336.1361	172.8163
336.9369	190.4453
337.7377	155.9239
338.5385	146.8670
339.3393	198.7822
340.1401	185.5671
340.9409	172.6287
341.7417	188.0056
342.5425	186.6204
343.3433	166.6303
344.1441	170.6175
344.9449	176.2155
345.7457	156.3377
346.5465	171.4248
347.3473	169.0877
348.1481	144.6873
348.9489	173.8964
349.7497	142.8509
350.5506	147.8745
351.3514	129.1078
352.1522	137.4407
352.9530	159.9402
353.7538	161.9192
354.5546	152.9470
355.3554	115.6550
356.1562	138.9542
356.9570	145.7852
357.7578	140.4941
358.5586	146.6328
359.3594	142.7481
360.1602	135.1185
360.9610	155.5710
361.7618	121.7954
362.5626	144.0848
363.3634	171.6961
364.1642	168.1770
364.9650	131.4063
365.7658	144.9654
366.5666	129.4979
367.3674	141.4888
368.1682	140.1636
368.9690	145.9832
369.7698	136.4636
370.5706	155.1911
371.3714	134.4187
372.1722	151.3759
372.9730	123.8455
373.7738	137.0877
374.5746	127.0798
375.3754	127.0190
376.1762	146.4323
376.9770	137.9726
377.7778	136.1702
